年齢,性別,婚姻ステータス,部署,職種,給料,職位,勤続年数,勤務企業数,ストックオプション,昇給率,人事評価,残業,出張頻度,家からの距離,教育レベル,教育分野,昨年の研修受講回数,仕事への関与度,仕事満足度,職場環境満足度,人関関係満足度,ワークライフバランス,離職,入社日,退社日
40,女性,既婚,研究開発,ラボ技術者,2213,1,10,3,1,13,3,TRUE,たまに,10,4,ライフサイエンス,3,4,3,4,3,3,FALSE,2010-08-08,
21,男性,独身,営業,営業担当,2610,1,3,1,0,24,4,FALSE,なし,9,2,医療,3,3,4,1,3,2,FALSE,2014-06-05,
33,女性,独身,営業,営業担当,2851,1,1,1,0,13,3,TRUE,たまに,5,3,マーケティング,2,3,3,4,2,3,TRUE,2015-09-11,2016-10-08
37,女性,既婚,研究開発,ラボ技術者,3452,1,17,6,1,20,4,FALSE,たまに,10,3,医療,3,3,1,3,2,3,FALSE,2012-02-17,
46,女性,既婚,研究開発,製造ディレクター,5258,2,7,2,0,14,3,FALSE,なし,7,4,医療,2,3,3,3,3,4,FALSE,2016-01-18,
41,男性,独身,営業,営業幹部,9355,2,8,1,0,18,3,FALSE,頻繁,4,3,マーケティング,5,3,2,1,3,3,TRUE,2001-12-12,2010-06-14
50,男性,独身,研究開発,ヘルスケア担当,10496,3,20,6,0,15,3,FALSE,たまに,10,3,技術系,2,2,4,4,4,3,FALSE,2013-01-29,
40,男性,既婚,営業,営業幹部,6380,2,8,2,2,12,3,TRUE,たまに,22,2,マーケティング,6,2,3,3,1,3,TRUE,2008-06-27,2014-08-15
31,男性,独身,研究開発,リサーチサイエンティスト,2657,1,3,0,0,16,3,TRUE,たまに,9,4,ライフサイエンス,5,2,2,3,4,3,FALSE,2015-10-07,
21,女性,独身,営業,営業担当,2716,1,1,1,0,15,3,FALSE,たまに,12,3,ライフサイエンス,0,4,2,3,4,3,TRUE,2013-05-23,2014-11-18
29,男性,独身,研究開発,リサーチサイエンティスト,2201,1,6,9,0,16,3,FALSE,たまに,23,3,ライフサイエンス,4,3,4,4,4,3,FALSE,2014-07-13,
35,男性,独身,研究開発,ヘルスケア担当,6540,2,10,9,0,19,3,FALSE,たまに,9,4,ライフサイエンス,5,2,2,3,3,3,FALSE,2016-07-26,
27,男性,離婚,研究開発,ラボ技術者,3816,1,5,1,1,11,3,FALSE,たまに,1,2,医療,2,3,2,4,2,3,FALSE,2012-12-18,
28,男性,独身,営業,営業幹部,5253,2,7,1,0,16,3,FALSE,たまに,9,4,ライフサイエンス,1,3,4,2,4,3,FALSE,2010-05-11,
49,男性,独身,研究開発,ヘルスケア担当,10965,3,26,8,0,24,4,FALSE,たまに,7,3,その他,2,2,3,2,3,3,FALSE,2012-04-15,
51,女性,既婚,営業,営業幹部,4936,2,18,4,1,11,3,FALSE,たまに,14,2,ライフサイエンス,2,3,4,3,3,2,FALSE,2010-08-26,
36,女性,既婚,研究開発,リサーチサイエンティスト,2543,1,6,4,1,13,3,FALSE,たまに,2,3,ライフサイエンス,3,3,3,4,2,3,FALSE,2015-01-21,
34,男性,独身,営業,営業幹部,5304,2,9,8,0,13,3,TRUE,なし,19,3,マーケティング,3,4,4,1,2,2,TRUE,2004-02-17,2009-11-14
55,女性,独身,研究開発,マネージャー,16659,4,30,2,0,13,3,TRUE,たまに,2,3,ライフサイエンス,2,3,4,3,3,3,FALSE,2012-12-14,
24,女性,離婚,営業,営業幹部,4260,2,5,1,1,12,3,TRUE,たまに,10,4,マーケティング,2,3,3,4,4,4,FALSE,2012-01-09,
30,男性,既婚,営業,営業担当,2476,1,1,1,1,18,3,FALSE,たまに,2,1,技術系,3,3,2,3,1,3,FALSE,2016-10-14,
26,男性,独身,研究開発,リサーチサイエンティスト,3102,1,7,0,0,22,4,FALSE,頻繁,3,1,技術系,2,3,1,3,3,3,TRUE,2011-07-03,2017-07-15
22,女性,既婚,研究開発,リサーチサイエンティスト,2244,1,2,1,1,13,3,FALSE,たまに,11,3,医療,1,3,2,1,4,3,FALSE,2015-09-29,
36,男性,既婚,営業,営業幹部,7596,3,10,1,2,13,3,FALSE,たまに,2,2,医療,2,2,3,2,2,3,FALSE,2007-04-14,
30,男性,独身,研究開発,リサーチサイエンティスト,2285,1,3,9,0,23,4,TRUE,頻繁,4,3,技術系,4,3,4,3,3,3,TRUE,2016-10-01,2017-12-30
37,女性,離婚,研究開発,ラボ技術者,3034,1,18,1,1,12,3,FALSE,たまに,14,3,ライフサイエンス,2,3,1,4,3,2,FALSE,1999-10-08,
40,女性,離婚,営業,営業幹部,5715,2,8,7,2,12,3,FALSE,たまに,2,2,マーケティング,5,3,2,4,3,3,FALSE,2012-12-25,
42,女性,離婚,研究開発,ラボ技術者,2576,1,8,3,1,16,3,FALSE,たまに,1,4,ライフサイエンス,5,3,1,2,2,3,FALSE,2012-09-27,
37,男性,独身,研究開発,製造ディレクター,4197,2,18,2,0,12,3,TRUE,たまに,10,4,ライフサイエンス,2,3,2,3,4,2,FALSE,2016-04-24,
43,男性,離婚,研究開発,リサーチディレクター,14336,4,25,1,1,11,3,FALSE,たまに,12,3,ライフサイエンス,3,2,2,1,3,3,FALSE,1992-12-20,
40,女性,既婚,研究開発,ラボ技術者,3448,2,20,6,1,22,4,FALSE,たまに,2,3,医療,3,2,3,2,2,3,FALSE,2016-12-09,
54,男性,既婚,研究開発,リサーチディレクター,19406,5,24,4,1,11,3,FALSE,たまに,5,2,医療,4,3,1,1,3,2,FALSE,2013-08-09,
34,女性,既婚,営業,営業幹部,6538,2,6,9,1,15,3,FALSE,なし,4,4,マーケティング,3,3,3,3,1,3,FALSE,2014-07-07,
31,女性,既婚,研究開発,製造ディレクター,4306,2,13,1,1,12,3,FALSE,たまに,7,2,医療,5,3,1,2,2,1,FALSE,2004-05-16,
43,男性,既婚,研究開発,ラボ技術者,2258,1,8,7,1,20,4,FALSE,頻繁,21,3,医療,1,3,4,4,1,3,FALSE,2014-04-13,
43,女性,離婚,研究開発,ヘルスケア担当,4522,2,8,4,0,14,3,TRUE,たまに,8,4,その他,3,3,3,3,4,3,FALSE,2012-12-04,
25,女性,独身,営業,営業幹部,4487,2,5,1,0,11,3,TRUE,たまに,4,2,ライフサイエンス,3,2,4,2,2,3,FALSE,2012-07-31,
37,女性,既婚,研究開発,リサーチサイエンティスト,4449,2,15,3,2,15,3,TRUE,なし,25,5,医療,2,3,3,2,1,3,FALSE,2004-01-12,
31,男性,既婚,研究開発,ラボ技術者,2218,1,4,1,1,12,3,FALSE,たまに,1,2,ライフサイエンス,3,2,1,4,3,3,FALSE,2013-03-10,
39,男性,離婚,研究開発,マネージャー,19197,5,21,1,1,14,3,TRUE,頻繁,1,1,ライフサイエンス,3,3,3,2,3,3,FALSE,1996-10-12,
56,女性,既婚,営業,営業幹部,13212,4,36,9,3,11,3,FALSE,頻繁,6,3,ライフサイエンス,0,4,1,3,4,2,FALSE,2010-07-07,
30,女性,独身,営業,営業幹部,6577,2,6,0,0,11,3,FALSE,たまに,12,3,技術系,6,3,3,2,2,3,FALSE,2012-12-28,
41,男性,既婚,営業,営業幹部,8392,3,10,1,1,16,3,FALSE,たまに,1,3,マーケティング,2,4,1,2,3,3,FALSE,2007-09-30,
28,男性,離婚,研究開発,ラボ技術者,4558,2,10,1,1,12,3,FALSE,たまに,17,2,医療,2,3,1,3,4,3,FALSE,2007-07-20,
25,男性,既婚,研究開発,ラボ技術者,4031,1,6,5,1,13,3,FALSE,たまに,3,3,医療,5,3,1,1,3,3,TRUE,2006-11-17,2009-08-14
52,男性,既婚,研究開発,製造ディレクター,7969,3,28,2,0,14,3,TRUE,たまに,3,3,医療,4,2,3,4,3,3,FALSE,2012-01-05,
45,男性,既婚,研究開発,リサーチサイエンティスト,2654,1,8,3,2,21,4,FALSE,たまに,10,2,ライフサイエンス,3,3,4,1,4,2,FALSE,2015-09-03,
52,女性,既婚,研究開発,マネージャー,16555,4,31,2,0,13,3,FALSE,たまに,4,2,ライフサイエンス,2,3,4,4,4,1,FALSE,2012-01-22,
42,女性,離婚,研究開発,リサーチサイエンティスト,4556,2,19,2,1,11,3,FALSE,頻繁,29,2,ライフサイエンス,3,3,3,1,2,3,FALSE,2012-01-16,
30,女性,独身,研究開発,製造ディレクター,6091,2,11,2,0,20,4,FALSE,たまに,2,3,ライフサイエンス,2,1,4,3,3,3,FALSE,2012-02-08,
60,女性,既婚,研究開発,マネージャー,19566,5,33,5,0,11,3,FALSE,たまに,7,3,ライフサイエンス,5,3,1,1,4,1,FALSE,1988-07-05,
46,女性,離婚,研究開発,製造ディレクター,4810,2,19,2,1,14,3,FALSE,たまに,18,3,医療,5,3,3,3,3,2,FALSE,2007-03-21,
42,女性,既婚,研究開発,ヘルスケア担当,4523,2,7,0,3,11,3,FALSE,頻繁,28,4,技術系,4,2,4,4,4,4,FALSE,2011-03-15,
24,女性,独身,営業,営業担当,3202,1,6,1,0,16,3,TRUE,たまに,1,1,技術系,4,3,2,1,2,3,TRUE,2002-11-19,2008-07-23
34,女性,離婚,営業,営業担当,2351,1,3,0,1,16,3,FALSE,頻繁,6,2,マーケティング,3,1,3,4,4,2,TRUE,2010-12-23,2013-07-22
38,男性,既婚,研究開発,ラボ技術者,1702,1,1,1,1,23,4,TRUE,頻繁,2,2,ライフサイエンス,3,3,4,4,3,3,FALSE,2016-09-02,
40,女性,既婚,営業,マネージャー,18041,5,21,0,0,14,3,FALSE,たまに,2,4,ライフサイエンス,2,3,3,3,4,3,FALSE,1998-01-01,
26,女性,離婚,研究開発,リサーチサイエンティスト,2886,1,3,1,2,22,4,FALSE,たまに,23,3,ライフサイエンス,3,3,4,1,2,1,FALSE,2014-12-09,
30,男性,既婚,研究開発,ラボ技術者,2097,1,9,4,1,15,3,FALSE,なし,3,3,ライフサイエンス,3,3,4,3,3,1,FALSE,2012-12-01,
29,男性,既婚,研究開発,リサーチディレクター,11935,3,10,1,0,18,3,FALSE,たまに,3,4,医療,2,2,3,2,3,3,FALSE,2007-12-28,
29,女性,既婚,研究開発,リサーチサイエンティスト,2546,1,6,5,0,16,3,FALSE,たまに,25,5,技術系,2,2,2,3,2,4,TRUE,2011-11-13,2014-03-15
19,男性,独身,人事,人事,2564,1,1,1,0,12,3,FALSE,たまに,2,2,技術系,3,2,4,1,3,4,TRUE,2009-07-08,2010-08-20
30,女性,既婚,営業,営業幹部,8412,3,10,0,0,11,3,FALSE,なし,22,4,その他,3,3,1,3,3,3,FALSE,2008-05-29,
57,男性,離婚,営業,マネージャー,14118,4,32,3,1,12,3,FALSE,たまに,29,3,マーケティング,3,2,4,1,3,2,FALSE,2016-12-19,
50,男性,既婚,研究開発,マネージャー,17046,4,28,0,1,15,3,FALSE,たまに,29,4,ライフサイエンス,2,2,3,2,2,3,FALSE,1990-12-29,
30,女性,独身,研究開発,ラボ技術者,2564,1,12,0,0,14,3,FALSE,なし,2,3,医療,2,3,4,3,3,2,FALSE,2006-11-04,
60,女性,既婚,営業,営業幹部,10266,3,22,4,0,19,3,FALSE,頻繁,28,3,マーケティング,5,2,1,3,4,4,FALSE,1999-03-04,
47,女性,離婚,研究開発,製造ディレクター,5070,2,20,5,3,13,3,FALSE,たまに,2,2,医療,2,3,4,1,3,3,FALSE,2012-03-27,
46,男性,既婚,研究開発,リサーチディレクター,17861,4,26,6,0,13,3,FALSE,たまに,2,3,ライフサイエンス,2,3,3,1,3,1,FALSE,2014-09-24,
35,男性,独身,研究開発,ラボ技術者,4230,1,6,0,0,15,3,FALSE,たまに,22,3,ライフサイエンス,2,1,3,4,3,3,FALSE,2012-10-25,
54,女性,独身,研究開発,ラボ技術者,3780,2,19,7,0,11,3,FALSE,たまに,8,4,ライフサイエンス,3,3,3,3,3,3,FALSE,2016-10-11,
34,男性,離婚,研究開発,リサーチサイエンティスト,2768,1,14,3,1,12,3,FALSE,たまに,2,4,ライフサイエンス,3,2,3,4,3,3,FALSE,2010-12-10,
46,女性,既婚,営業,営業幹部,9071,3,15,2,1,19,3,TRUE,たまに,10,3,マーケティング,3,2,4,3,3,3,FALSE,2014-12-11,
31,男性,離婚,研究開発,製造ディレクター,10648,3,13,1,1,25,4,FALSE,たまに,9,1,ライフサイエンス,6,3,2,3,4,4,FALSE,2004-11-02,
33,男性,既婚,研究開発,マネージャー,13610,3,15,7,0,12,3,TRUE,たまに,15,1,医療,2,3,3,2,4,4,TRUE,2008-10-01,2015-10-28
33,男性,離婚,研究開発,ラボ技術者,3408,1,8,7,3,13,3,FALSE,たまに,10,1,医療,2,1,4,1,1,3,TRUE,2010-01-11,2014-01-26
30,男性,独身,営業,営業担当,2983,1,4,0,0,14,3,FALSE,たまに,7,1,マーケティング,3,3,2,4,1,3,FALSE,2014-06-25,
35,男性,既婚,研究開発,ヘルスケア担当,7632,3,10,4,0,12,3,TRUE,たまに,16,3,ライフサイエンス,2,3,3,4,3,3,FALSE,2009-03-19,
31,男性,既婚,研究開発,ヘルスケア担当,9824,3,12,3,0,12,3,FALSE,頻繁,20,3,ライフサイエンス,2,3,3,1,1,3,TRUE,2012-12-10,2014-08-21
34,女性,離婚,人事,人事,9950,3,11,9,3,15,3,TRUE,頻繁,23,3,人事,2,3,1,2,3,3,TRUE,2008-01-13,2011-02-06
42,男性,既婚,研究開発,ラボ技術者,2093,1,8,4,1,17,3,FALSE,頻繁,5,2,その他,4,3,3,2,4,3,FALSE,2015-12-26,
36,男性,独身,営業,営業幹部,9980,3,10,1,0,14,3,FALSE,なし,10,4,医療,3,3,4,2,4,2,FALSE,2007-07-25,
22,男性,独身,研究開発,ラボ技術者,3894,1,4,5,0,16,3,FALSE,頻繁,4,1,技術系,3,2,3,3,3,3,TRUE,2006-12-17,2009-02-12
48,女性,既婚,営業,営業幹部,4051,2,14,2,1,14,3,FALSE,たまに,2,5,マーケティング,2,3,4,2,1,3,FALSE,2008-04-14,
55,女性,独身,営業,マネージャー,16835,4,37,3,0,23,4,FALSE,たまに,18,5,ライフサイエンス,2,3,2,1,4,3,FALSE,2007-04-20,
41,男性,独身,営業,営業幹部,6230,2,16,7,0,14,3,FALSE,なし,10,2,ライフサイエンス,3,3,4,4,4,3,FALSE,2003-02-13,
35,男性,既婚,営業,営業幹部,4717,2,15,9,0,11,3,FALSE,たまに,1,3,マーケティング,2,3,3,2,3,3,FALSE,2006-09-05,
40,女性,独身,研究開発,製造ディレクター,13237,4,22,7,0,15,3,FALSE,たまに,6,3,ライフサイエンス,3,3,3,2,3,3,FALSE,1997-01-12,
39,女性,既婚,研究開発,ラボ技術者,3755,1,8,1,1,11,3,FALSE,頻繁,8,1,ライフサイエンス,3,3,3,3,1,3,FALSE,2009-01-07,
31,男性,独身,営業,営業幹部,6582,2,10,4,0,13,3,TRUE,たまに,2,1,ライフサイエンス,2,3,4,2,3,4,FALSE,2011-12-19,
42,男性,既婚,研究開発,製造ディレクター,7406,3,10,1,1,21,4,TRUE,たまに,24,3,医療,5,3,1,4,4,2,FALSE,2007-02-10,
45,男性,既婚,営業,営業幹部,4805,2,9,0,1,19,3,FALSE,たまに,2,3,その他,3,3,2,4,2,4,FALSE,2009-03-07,
26,女性,離婚,人事,人事,2741,1,8,0,1,11,3,TRUE,頻繁,17,4,ライフサイエンス,2,3,3,2,2,2,TRUE,2009-10-09,2017-06-30
29,男性,離婚,研究開発,製造ディレクター,4262,2,8,4,2,12,3,FALSE,たまに,19,3,技術系,2,3,4,4,2,4,FALSE,2014-09-18,
33,女性,離婚,研究開発,リサーチディレクター,16184,4,10,4,1,19,3,FALSE,たまに,1,5,医療,2,4,3,1,3,3,FALSE,2011-07-03,
31,男性,離婚,営業,マネージャー,11557,3,10,9,1,21,4,FALSE,たまに,7,3,ライフサイエンス,3,2,4,3,3,2,FALSE,2012-07-29,
18,男性,独身,営業,営業担当,1878,1,0,1,0,14,3,TRUE,頻繁,5,3,マーケティング,3,3,2,2,4,3,TRUE,2016-10-18,2017-05-28
40,男性,離婚,営業,営業幹部,10932,3,20,3,1,15,3,FALSE,なし,28,3,その他,2,1,1,3,3,3,FALSE,2016-01-29,
41,女性,独身,研究開発,ヘルスケア担当,6811,2,10,2,0,17,3,TRUE,なし,2,4,その他,3,2,3,1,1,3,FALSE,2009-10-06,
26,男性,離婚,営業,営業幹部,4306,2,8,5,2,12,3,FALSE,たまに,29,2,医療,5,3,3,1,1,3,FALSE,2017-09-24,
35,女性,独身,営業,営業幹部,4859,2,5,1,0,16,3,FALSE,たまに,1,3,医療,3,3,3,1,4,3,FALSE,2012-04-08,
34,男性,独身,営業,営業幹部,5337,2,10,1,0,12,3,FALSE,たまに,21,4,ライフサイエンス,3,4,4,4,4,3,FALSE,2007-04-02,
26,男性,独身,研究開発,ラボ技術者,2340,1,1,1,0,18,3,TRUE,たまに,24,3,技術系,3,1,4,3,2,1,TRUE,2015-11-24,2017-10-29
37,女性,独身,研究開発,製造ディレクター,7491,3,12,4,0,17,3,FALSE,たまに,1,3,技術系,3,3,4,2,4,4,FALSE,2011-07-17,
46,女性,既婚,研究開発,ヘルスケア担当,10527,3,28,5,0,11,3,FALSE,頻繁,18,1,医療,3,3,3,1,4,2,FALSE,2015-02-22,
41,女性,既婚,営業,マネージャー,16595,4,22,7,1,16,3,FALSE,たまに,2,5,ライフサイエンス,2,3,1,2,2,3,FALSE,1999-09-10,
37,男性,離婚,営業,営業幹部,8834,3,9,1,1,13,3,FALSE,なし,9,4,医療,6,3,2,1,4,3,FALSE,2008-10-17,
52,男性,離婚,研究開発,リサーチサイエンティスト,5577,2,18,3,2,12,3,TRUE,たまに,6,2,技術系,3,3,1,4,2,3,FALSE,2007-01-31,
32,男性,既婚,営業,営業幹部,4707,2,6,8,0,12,3,FALSE,なし,11,4,その他,2,4,3,4,4,3,TRUE,2009-09-23,2013-10-12
24,男性,既婚,営業,営業担当,2400,1,3,0,2,13,3,FALSE,頻繁,24,3,医療,3,3,4,4,3,3,FALSE,2015-08-05,
38,女性,既婚,研究開発,ヘルスケア担当,9824,2,18,3,1,19,3,FALSE,たまに,10,3,医療,4,3,3,3,3,3,FALSE,2016-07-19,
37,女性,既婚,研究開発,製造ディレクター,6447,2,8,6,1,12,3,FALSE,たまに,1,4,ライフサイエンス,2,3,2,2,2,2,FALSE,2011-08-03,
49,男性,離婚,研究開発,リサーチディレクター,19502,5,31,1,1,17,3,TRUE,たまに,18,4,ライフサイエンス,5,2,3,4,3,3,FALSE,1986-05-02,
24,男性,既婚,研究開発,リサーチサイエンティスト,2725,1,6,1,2,11,3,TRUE,たまに,23,3,医療,3,4,4,2,2,3,FALSE,2011-04-01,
26,男性,既婚,営業,営業幹部,6272,2,6,1,2,20,4,FALSE,たまに,28,2,マーケティング,5,3,2,1,4,4,FALSE,2012-02-03,
24,男性,既婚,研究開発,ラボ技術者,2127,1,1,1,1,21,4,FALSE,たまに,17,2,その他,2,2,2,4,4,3,FALSE,2016-03-08,
50,男性,既婚,人事,マネージャー,18200,5,32,1,1,11,3,FALSE,頻繁,3,3,医療,2,3,2,1,3,3,FALSE,1985-11-28,
25,男性,既婚,営業,営業担当,2096,1,7,1,0,11,3,FALSE,たまに,13,1,医療,1,3,3,2,3,3,FALSE,2010-10-29,
24,女性,既婚,研究開発,ラボ技術者,2886,1,6,1,1,16,3,TRUE,頻繁,7,3,ライフサイエンス,4,3,3,1,4,3,TRUE,2002-04-28,2008-12-18
30,男性,既婚,営業,営業担当,2033,1,1,1,1,18,3,FALSE,頻繁,12,4,ライフサイエンス,2,2,1,2,3,4,TRUE,2009-02-10,2010-12-26
34,男性,既婚,研究開発,リサーチサイエンティスト,3622,1,6,1,1,13,3,TRUE,たまに,1,2,ライフサイエンス,3,2,4,2,4,3,FALSE,2011-05-31,
31,男性,離婚,営業,営業幹部,4233,2,9,2,0,17,3,FALSE,たまに,13,4,医療,2,3,1,2,3,1,TRUE,2009-01-31,2012-05-06
35,男性,独身,研究開発,ラボ技術者,3681,2,9,4,0,14,3,FALSE,たまに,25,2,その他,3,2,4,1,4,3,FALSE,2014-02-13,
31,男性,離婚,営業,営業幹部,5460,2,13,4,2,22,4,FALSE,たまに,6,4,医療,4,4,4,1,4,4,FALSE,2010-10-25,
27,女性,離婚,研究開発,リサーチサイエンティスト,2187,1,6,0,2,12,3,FALSE,たまに,6,4,医療,5,2,3,1,3,2,FALSE,2012-07-07,
37,男性,既婚,営業,営業幹部,9602,2,17,4,1,11,3,TRUE,たまに,2,3,マーケティング,3,3,3,4,3,2,FALSE,2014-12-29,
20,女性,独身,研究開発,リサーチサイエンティスト,2836,1,1,1,0,13,3,FALSE,たまに,1,3,ライフサイエンス,0,2,2,4,4,4,FALSE,2016-08-23,
42,女性,既婚,研究開発,ヘルスケア担当,4089,2,10,1,2,13,3,FALSE,たまに,2,4,ライフサイエンス,4,3,4,3,2,3,FALSE,2007-07-25,
43,男性,離婚,研究開発,リサーチディレクター,16627,4,21,4,1,14,3,TRUE,たまに,6,4,その他,3,2,4,2,3,2,FALSE,2016-11-16,
38,女性,独身,研究開発,リサーチサイエンティスト,2619,1,8,3,0,17,3,FALSE,たまに,1,1,ライフサイエンス,3,3,1,3,4,2,FALSE,2017-05-18,
43,男性,離婚,研究開発,ラボ技術者,5679,2,10,3,1,13,3,TRUE,頻繁,9,5,医療,3,3,3,4,2,3,FALSE,2009-09-13,
48,女性,既婚,研究開発,マネージャー,15402,4,21,7,1,11,3,FALSE,たまに,1,4,ライフサイエンス,3,2,1,4,1,1,FALSE,2014-10-06,
44,女性,独身,人事,人事,5985,2,10,4,0,11,3,FALSE,たまに,1,4,ライフサイエンス,1,2,3,1,2,4,FALSE,2015-08-24,
34,女性,離婚,営業,営業担当,2579,1,8,1,2,18,3,TRUE,たまに,14,3,技術系,3,3,3,3,4,3,FALSE,2009-02-09,
27,男性,離婚,営業,営業担当,3041,1,5,0,1,11,3,FALSE,たまに,2,1,マーケティング,3,3,1,3,2,3,TRUE,2004-10-03,2009-09-29
21,男性,独身,営業,営業担当,3447,1,3,1,0,11,3,FALSE,たまに,22,1,技術系,2,3,3,3,3,3,FALSE,2014-04-09,
44,男性,既婚,研究開発,マネージャー,19513,5,26,4,1,12,3,TRUE,たまに,3,4,その他,2,3,4,4,1,4,FALSE,2015-01-04,
22,男性,既婚,研究開発,リサーチサイエンティスト,2773,1,3,0,0,20,4,FALSE,たまに,6,1,医療,3,3,3,1,4,3,FALSE,2015-06-19,
33,男性,離婚,営業,営業幹部,7104,2,6,0,0,12,3,FALSE,たまに,8,4,マーケティング,3,3,3,3,4,3,FALSE,2012-07-27,
32,女性,既婚,研究開発,リサーチサイエンティスト,6322,2,6,1,1,12,3,TRUE,たまに,9,4,ライフサイエンス,2,3,4,1,4,2,FALSE,2011-01-15,
30,女性,離婚,研究開発,リサーチサイエンティスト,2083,1,1,1,1,20,4,FALSE,頻繁,3,3,医療,2,3,3,3,3,3,FALSE,2016-11-08,
53,女性,独身,営業,営業幹部,8381,2,18,7,0,20,4,FALSE,たまに,1,1,医療,2,3,1,4,4,4,FALSE,2003-12-09,
34,男性,既婚,研究開発,リサーチサイエンティスト,2691,1,10,1,1,12,3,FALSE,たまに,1,5,ライフサイエンス,4,3,4,2,4,2,FALSE,2007-12-24,
45,女性,既婚,営業,営業幹部,4286,2,5,2,2,14,3,FALSE,頻繁,26,4,ライフサイエンス,4,3,1,1,4,3,TRUE,2007-09-05,2009-04-15
26,女性,既婚,研究開発,ラボ技術者,2659,1,3,1,1,13,3,TRUE,たまに,6,3,ライフサイエンス,2,3,4,3,3,3,FALSE,2014-04-22,
37,男性,既婚,研究開発,製造ディレクター,9434,3,10,1,1,15,3,FALSE,たまに,3,3,その他,2,3,3,3,3,3,FALSE,2007-03-15,
29,女性,既婚,営業,営業幹部,5561,2,6,1,1,14,3,FALSE,たまに,3,2,医療,5,3,3,2,1,2,FALSE,2011-11-13,
35,男性,独身,研究開発,リサーチサイエンティスト,6646,2,17,1,0,13,3,FALSE,たまに,6,4,ライフサイエンス,3,1,4,2,2,3,FALSE,2000-11-04,
33,男性,離婚,研究開発,ヘルスケア担当,7725,2,15,3,1,23,4,FALSE,頻繁,6,3,ライフサイエンス,2,3,4,3,3,1,FALSE,2004-01-06,
54,男性,既婚,人事,人事,10725,3,16,2,1,15,3,FALSE,たまに,19,4,医療,1,3,2,3,3,4,FALSE,2008-08-09,
36,男性,離婚,研究開発,製造ディレクター,8847,2,13,2,1,11,3,TRUE,たまに,9,2,医療,2,2,2,2,3,3,FALSE,2014-10-25,
27,男性,独身,研究開発,リサーチサイエンティスト,2045,1,5,0,0,13,3,FALSE,たまに,3,4,医療,0,2,4,1,4,3,FALSE,2013-07-11,
20,男性,独身,研究開発,リサーチサイエンティスト,1009,1,1,1,0,11,3,TRUE,たまに,10,1,医療,5,3,3,4,4,3,TRUE,2006-07-04,2008-01-19
33,男性,独身,研究開発,リサーチサイエンティスト,3348,1,10,1,0,11,3,TRUE,頻繁,3,3,ライフサイエンス,3,3,1,1,1,3,TRUE,2000-01-30,2010-05-29
35,男性,既婚,研究開発,ラボ技術者,1281,1,1,1,2,18,3,FALSE,なし,3,3,ライフサイエンス,3,2,3,3,3,3,FALSE,2016-01-02,
23,男性,既婚,研究開発,リサーチサイエンティスト,2819,1,5,2,1,16,3,FALSE,たまに,4,3,医療,3,4,1,1,1,4,FALSE,2014-06-23,
25,男性,既婚,営業,営業幹部,4851,2,4,0,1,22,4,FALSE,たまに,8,3,ライフサイエンス,4,4,2,4,3,3,FALSE,2014-11-14,
38,女性,独身,営業,営業幹部,4028,2,8,0,0,20,4,FALSE,たまに,7,4,マーケティング,2,2,4,4,1,3,FALSE,2010-07-26,
29,男性,離婚,研究開発,リサーチサイエンティスト,2720,1,10,1,1,18,3,FALSE,頻繁,1,4,ライフサイエンス,5,1,4,2,4,3,FALSE,2007-05-20,
48,男性,既婚,営業,営業幹部,8120,2,12,3,0,12,3,FALSE,たまに,2,1,マーケティング,3,4,2,2,4,3,FALSE,2015-10-20,
27,女性,離婚,営業,営業幹部,4647,2,6,1,2,20,4,TRUE,頻繁,3,1,医療,3,4,4,4,2,3,FALSE,2011-11-14,
37,男性,独身,研究開発,リサーチサイエンティスト,4680,1,4,3,0,17,3,FALSE,たまに,10,2,ライフサイエンス,2,4,4,4,1,3,FALSE,2016-03-24,
50,男性,既婚,研究開発,ラボ技術者,3221,1,20,1,3,11,3,TRUE,たまに,28,1,医療,3,4,3,4,3,3,FALSE,1997-05-14,
34,女性,独身,研究開発,ヘルスケア担当,8621,3,9,1,0,14,3,FALSE,たまに,9,3,医療,3,2,2,4,2,4,FALSE,2009-09-20,
24,女性,独身,営業,営業幹部,4577,2,4,9,0,14,3,FALSE,たまに,3,2,ライフサイエンス,3,3,3,1,1,3,TRUE,2014-06-02,2016-08-10
39,女性,独身,研究開発,ヘルスケア担当,4553,2,20,1,0,11,3,FALSE,たまに,2,4,技術系,4,2,3,4,1,3,FALSE,1997-09-27,
32,男性,独身,営業,営業幹部,5396,2,10,1,0,12,3,FALSE,たまに,10,3,マーケティング,2,3,4,4,4,2,FALSE,2007-06-22,
50,男性,既婚,営業,営業幹部,6796,2,18,3,1,14,3,TRUE,頻繁,8,2,技術系,4,3,3,2,1,3,TRUE,2009-12-19,2014-08-26
38,女性,独身,研究開発,ヘルスケア担当,7625,2,10,0,0,13,3,FALSE,たまに,1,4,ライフサイエンス,4,4,4,2,3,2,FALSE,2008-08-14,
27,女性,既婚,研究開発,製造ディレクター,7412,3,9,1,0,11,3,FALSE,たまに,1,2,ライフサイエンス,3,3,1,3,4,3,FALSE,2008-01-18,
32,女性,独身,研究開発,リサーチディレクター,11159,3,10,3,0,15,3,FALSE,たまに,3,2,ライフサイエンス,6,3,4,3,4,3,FALSE,2010-11-20,
